UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 Oct08 ?        00:00:00 /sbin/init
root         2     0  0 Oct08 ?        00:00:00 [kthreadd]
root         3     2  0 Oct08 ?        00:00:00 [migration/0]
root         4     2  0 Oct08 ?        00:00:00 [ksoftirqd/0]
root         5     2  0 Oct08 ?        00:00:00 [stopper/0]
root         6     2  0 Oct08 ?        00:00:00 [watchdog/0]
root         7     2  0 Oct08 ?        00:00:00 [migration/1]
root         8     2  0 Oct08 ?        00:00:00 [stopper/1]
root         9     2  0 Oct08 ?        00:00:00 [ksoftirqd/1]
root        10     2  0 Oct08 ?        00:00:00 [watchdog/1]
root        11     2  0 Oct08 ?        00:00:00 [migration/2]
root        12     2  0 Oct08 ?        00:00:00 [stopper/2]
root        13     2  0 Oct08 ?        00:00:00 [ksoftirqd/2]
root        14     2  0 Oct08 ?        00:00:00 [watchdog/2]
root        15     2  0 Oct08 ?        00:00:00 [migration/3]
root        16     2  0 Oct08 ?        00:00:00 [stopper/3]
root        17     2  0 Oct08 ?        00:00:00 [ksoftirqd/3]
root        18     2  0 Oct08 ?        00:00:00 [watchdog/3]
root        19     2  0 Oct08 ?        00:00:04 [events/0]
root        20     2  0 Oct08 ?        00:00:04 [events/1]
root        21     2  0 Oct08 ?        00:00:05 [events/2]
root        22     2  0 Oct08 ?        00:00:05 [events/3]
root        23     2  0 Oct08 ?        00:00:00 [cgroup]
root        24     2  0 Oct08 ?        00:00:00 [khelper]
root        25     2  0 Oct08 ?        00:00:00 [netns]
root        26     2  0 Oct08 ?        00:00:00 [async/mgr]
root        27     2  0 Oct08 ?        00:00:00 [pm]
root        28     2  0 Oct08 ?        00:00:00 [sync_supers]
root        29     2  0 Oct08 ?        00:00:00 [bdi-default]
root        30     2  0 Oct08 ?        00:00:00 [kintegrityd/0]
root        31     2  0 Oct08 ?        00:00:00 [kintegrityd/1]
root        32     2  0 Oct08 ?        00:00:00 [kintegrityd/2]
root        33     2  0 Oct08 ?        00:00:00 [kintegrityd/3]
root        34     2  0 Oct08 ?        00:00:03 [kblockd/0]
root        35     2  0 Oct08 ?        00:00:00 [kblockd/1]
root        36     2  0 Oct08 ?        00:00:00 [kblockd/2]
root        37     2  0 Oct08 ?        00:00:00 [kblockd/3]
root        38     2  0 Oct08 ?        00:00:00 [kacpid]
root        39     2  0 Oct08 ?        00:00:00 [kacpi_notify]
root        40     2  0 Oct08 ?        00:00:00 [kacpi_hotplug]
root        41     2  0 Oct08 ?        00:00:00 [ata_aux]
root        42     2  0 Oct08 ?        00:00:00 [ata_sff/0]
root        43     2  0 Oct08 ?        00:00:00 [ata_sff/1]
root        44     2  0 Oct08 ?        00:00:00 [ata_sff/2]
root        45     2  0 Oct08 ?        00:00:00 [ata_sff/3]
root        46     2  0 Oct08 ?        00:00:00 [ksuspend_usbd]
root        47     2  0 Oct08 ?        00:00:00 [khubd]
root        48     2  0 Oct08 ?        00:00:00 [kseriod]
root        49     2  0 Oct08 ?        00:00:00 [md/0]
root        50     2  0 Oct08 ?        00:00:00 [md/1]
root        51     2  0 Oct08 ?        00:00:00 [md/2]
root        52     2  0 Oct08 ?        00:00:00 [md/3]
root        53     2  0 Oct08 ?        00:00:00 [md_misc/0]
root        54     2  0 Oct08 ?        00:00:00 [md_misc/1]
root        55     2  0 Oct08 ?        00:00:00 [md_misc/2]
root        56     2  0 Oct08 ?        00:00:00 [md_misc/3]
root        57     2  0 Oct08 ?        00:00:00 [linkwatch]
root        59     2  0 Oct08 ?        00:00:00 [khungtaskd]
root        60     2 98 Oct08 ?        7-08:23:45 [kswapd0]
root        61     2  0 Oct08 ?        00:00:00 [ksmd]
root        62     2  0 Oct08 ?        00:00:00 [khugepaged]
root        63     2  0 Oct08 ?        00:00:00 [aio/0]
root        64     2  0 Oct08 ?        00:00:00 [aio/1]
root        65     2  0 Oct08 ?        00:00:00 [aio/2]
root        66     2  0 Oct08 ?        00:00:00 [aio/3]
root        67     2  0 Oct08 ?        00:00:00 [crypto/0]
root        68     2  0 Oct08 ?        00:00:00 [crypto/1]
root        69     2  0 Oct08 ?        00:00:00 [crypto/2]
root        70     2  0 Oct08 ?        00:00:00 [crypto/3]
root        78     2  0 Oct08 ?        00:00:00 [kthrotld/0]
root        79     2  0 Oct08 ?        00:00:00 [kthrotld/1]
root        80     2  0 Oct08 ?        00:00:00 [kthrotld/2]
root        81     2  0 Oct08 ?        00:00:00 [kthrotld/3]
root        83     2  0 Oct08 ?        00:00:00 [kpsmoused]
root        84     2  0 Oct08 ?        00:00:00 [usbhid_resumer]
root        85     2  0 Oct08 ?        00:00:00 [deferwq]
root       116     2  0 Oct08 ?        00:00:00 [kdmremove]
